HD	region	gene
641	179	chr21:45.59-45.70	PWP2
642	179	chr21:45.59-45.70	PFKL
643	179	chr21:45.59-45.70	AIRE
644	180	chr22:21.71-22.02	UBE2L3
645	180	chr22:21.71-22.02	CCDC116
646	180	chr22:21.71-22.02	HIC2
647	180	chr22:21.71-22.02	PPIL2
648	180	chr22:21.71-22.02	YDJC
649	180	chr22:21.71-22.02	YPEL1
650	180	chr22:21.71-22.02	TMEM191C
651	180	chr22:21.71-22.02	SDF2L1
652	181	chr22:29.93-30.67	NEFH
653	181	chr22:29.93-30.67	THOC5
654	181	chr22:29.93-30.67	GATSL3
655	181	chr22:29.93-30.67	OSM
656	181	chr22:29.93-30.67	NIPSNAP1
657	181	chr22:29.93-30.67	TBC1D10A
658	181	chr22:29.93-30.67	UQCR10
659	181	chr22:29.93-30.67	ASCC2
660	181	chr22:29.93-30.67	NF2
661	181	chr22:29.93-30.67	CABP7
662	181	chr22:29.93-30.67	HORMAD2
663	181	chr22:29.93-30.67	LIF
664	181	chr22:29.93-30.67	MTMR3
665	181	chr22:29.93-30.67	ZMAT5
666	184	chr22:39.66-39.77	TAB1
667	184	chr22:39.66-39.77	RPL3
668	184	chr22:39.66-39.77	PDGFB
669	184	chr22:39.66-39.77	SYNGR1
